ACCtrinom,SYNtri,grp,isTrinomial,notes,newTaxa,origFullText
Nardia_insecta,,hep,0,NA,NA,NA
Pallavicinia_lyellii,,hep,0,NA,NA,NA
Pallavicinia_lyellii,Pallavicinia_lyelli,hep,0,NA,NA,NA
Pallavicinia_lyellii,Pallavicinia_lyelllii,hep,0,NA,NA,NA
Pellia_endiviifolia,,hep,0,NA,NA,NA
Pellia_neesiana,,hep,0,NA,NA,NA
Plagiochila_porelloides,,hep,0,NA,NA,NA
Plagiochila_porelloides,Plagiochila_major,hep,0,NA,NA,NA
Plagiochila_porelloides,Plagiochila_porrelloides,hep,0,NA,NA,NA
Plagiochila_porelloides,Plagiochila_porreloides,hep,0,NA,NA,NA
Plagiochila_porelloides,Plagiochila_satoi,hep,0,NA,NA,NA
Porella_bolanderi,,hep,0,NA,NA,NA
Porella_bolanderi,Madotheca_bolanderi,hep,0,NA,NA,NA
Porella_cordaeana,,hep,0,NA,NA,NA
Porella_cordaeana,Madotheca_cordaeana,hep,0,NA,NA,NA
Porella_cordaeana,Madotheca_cordeana,hep,0,NA,NA,NA
Porella_cordaeana,Porella_cordaceana,hep,0,NA,NA,NA
Porella_cordaeana,Porella_cordeana,hep,0,NA,NA,NA
Porella_cordaeana,Porella_dentata,hep,0,NA,NA,NA
Porella_cordaeana,Porella_rivularis,hep,0,NA,NA,NA
Porella_cordaeana,Porella_cordeana,hep,0,NA,NA,NA
Porella_navicularis,,hep,0,NA,NA,NA
Porella_navicularis,Madotheca_navicularis,hep,0,NA,NA,NA
Porella_navicularis,Porella_naviculans,hep,0,NA,NA,NA
Porella_roellii,,hep,0,NA,NA,NA
Porella_roellii,Madotheca_roellii,hep,0,NA,NA,NA
Porella_roellii,Porella_roellei,hep,0,NA,NA,NA
Porella_roellii,Porella_roelli,hep,0,NA,NA,NA
Preissia_quadrata,,hep,0,NA,NA,NA
Ptilidium_californicum,,hep,0,NA,NA,NA
Radula_bolanderi,,hep,0,NA,NA,NA
